epoch,index,onset_time,accuracy,pre_trial_accuracy,response_time,condition_stimulus,condition_cue,stimulus_shape,stimulus_location,num_checks,motivation,rewarded_time,production,delivered_reward,passed_time,received_reward
1,39,51.322,1.0,post-correct,0.48099999999999454,congruent,valid,CIRCLE,LEFT,1,1,53.193,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,40,52.573,1.0,post-correct,0.4799999999999969,congruent,valid,SQUARE,RIGHT,1,1,54.422,CHECK-PASS-M3,1,0.3,0.7
1,41,53.823,1.0,post-correct,0.4589999999999961,incongruent,valid,SQUARE,LEFT,1,1,55.674,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,42,55.052,1.0,post-correct,0.4819999999999993,congruent,invalid,CIRCLE,LEFT,1,1,56.925,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,43,56.304,1.0,post-correct,0.48099999999999454,incongruent,valid,SQUARE,LEFT,1,1,58.177,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,44,57.555,1.0,post-correct,0.4819999999999993,congruent,invalid,CIRCLE,LEFT,1,1,59.426,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,45,58.807,1.0,post-correct,0.4789999999999992,congruent,invalid,SQUARE,RIGHT,1,1,60.654,CHECK-PASS-M3,1,0.3,0.7
1,46,60.056,1.0,post-correct,0.4580000000000055,congruent,valid,SQUARE,RIGHT,1,1,61.905,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,47,61.284,1.0,post-correct,0.48100000000000165,congruent,valid,CIRCLE,LEFT,1,1,63.502,DONT-CHECK,0,0.457,-0.457
1,48,62.535,1.0,post-correct,0.6700000000000017,incongruent,valid,CIRCLE,RIGHT,1,1,64.753,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,49,64.132,1.0,post-correct,0.48099999999999454,congruent,invalid,SQUARE,RIGHT,1,1,66.007,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,50,65.383,1.0,post-correct,0.48400000000000887,incongruent,valid,CIRCLE,RIGHT,1,1,67.237,CHECK-PASS-M3,1,0.3,0.7
1,51,66.637,1.0,post-correct,0.45999999999999375,incongruent,valid,CIRCLE,RIGHT,1,1,68.828,DONT-CHECK,0,0.455,-0.455
1,52,67.867,1.0,post-correct,0.6659999999999968,incongruent,invalid,CIRCLE,RIGHT,1,1,70.06,CHECK-PASS-M3,1,0.3,0.7
1,53,69.458,1.0,post-correct,0.4620000000000033,congruent,invalid,CIRCLE,LEFT,1,1,71.309,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,54,70.69,1.0,post-correct,0.4789999999999992,incongruent,invalid,SQUARE,LEFT,1,1,72.539,CHECK-PASS-M3,1,0.3,0.7
1,55,71.939,1.0,post-correct,0.46000000000000796,incongruent,invalid,SQUARE,LEFT,1,1,74.153,DONT-CHECK,0,0.477,-0.477
1,56,73.169,1.0,post-correct,0.6869999999999976,congruent,invalid,CIRCLE,LEFT,1,1,75.384,CHECK-PASS-M3,1,0.3,0.7
1,57,74.783,1.0,post-correct,0.4609999999999985,congruent,invalid,CIRCLE,LEFT,1,1,76.616,CHECK-PASS-M3,1,0.3,0.7
1,58,76.014,1.0,post-correct,0.4620000000000033,congruent,invalid,CIRCLE,LEFT,1,1,77.847,CHECK-PASS-M3,1,0.3,0.7
1,59,77.246,1.0,post-correct,0.4609999999999985,incongruent,invalid,CIRCLE,RIGHT,1,1,79.097,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,60,78.477,1.0,post-correct,0.47999999999998977,congruent,valid,SQUARE,RIGHT,1,1,80.345,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,61,79.727,1.0,post-correct,0.47799999999999443,congruent,valid,CIRCLE,LEFT,1,1,81.593,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,62,80.975,1.0,post-correct,0.47800000000000864,congruent,valid,SQUARE,RIGHT,1,1,82.821,CHECK-PASS-M3,1,0.3,0.7
1,63,82.223,1.0,post-correct,0.4579999999999984,congruent,invalid,SQUARE,RIGHT,1,1,84.049,CHECK-PASS-M3,1,0.3,0.7
1,64,83.451,1.0,post-correct,0.4580000000000126,congruent,valid,SQUARE,RIGHT,1,1,85.278,CHECK-PASS-M3,1,0.3,0.7
1,65,84.679,1.0,post-correct,0.4590000000000032,incongruent,invalid,SQUARE,LEFT,1,1,86.506,CHECK-PASS-M3,1,0.3,0.7
1,66,85.908,1.0,post-correct,0.4579999999999984,incongruent,invalid,SQUARE,LEFT,1,1,87.734,CHECK-PASS-M3,1,0.3,0.7
