epoch,production,u,utility,delivered_reward
76,P5,0.0,0.0644174,4
76,P6,0.0,1.065378,5
76,P7,5.9279995,6.295055,6
76,P8,0.0,-0.28441364,7
76,P9,0.0,-0.63846433,8
76,P10,0.0,0.4541252,9
77,P1,0.0,-1.8494197,0
77,P2,0.0,0.21701306,1
77,P3,0.0,-0.98050725,2
77,P4,0.0,0.04613852,3
77,P5,0.0,0.0008398985,4
77,P6,0.0,-2.63984,5
77,P7,5.9279995,5.9323916,6
77,P8,0.0,-0.39056993,7
77,P9,0.0,-0.51604104,8
77,P10,0.0,0.7613306,9
78,P1,0.0,-0.48387688,0
78,P2,0.39200002,0.2872277,1
78,P3,0.0,-0.24158445,2
78,P4,0.0,1.1557837,3
78,P5,0.0,-0.5053126,4
78,P6,4.9379997,4.2427397,5
78,P7,0.0,-1.9488367,6
78,P8,0.0,-0.6148711,7
